China,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
165,1965,0.40354838709677426,0.39,,,,
166,1966,0.5635483870967742,0.37,,,,
167,1967,0.0035483870967742415,0.36,,,,
168,1968,0.30354838709677423,0.35,,,,
169,1969,0.06354838709677424,0.35,,,,
170,1970,0.15354838709677426,0.35,,,,
171,1971,0.43354838709677423,0.36,,,,
172,1972,0.40354838709677426,0.37,,,,
173,1973,0.8035483870967742,0.4,,,,
174,1974,0.25354838709677424,0.43,,,,
175,1975,0.6835483870967742,0.46,,,,
176,1976,0.06354838709677424,0.49,,,,
177,1977,0.45354838709677425,0.51,,,,
178,1978,0.6535483870967742,0.51,,,,
179,1979,0.6835483870967742,0.51,,,,
180,1980,0.5335483870967743,0.51,,,,
181,1981,0.5135483870967743,0.52,,,,
182,1982,0.7335483870967743,0.53,,,,
183,1983,0.5035483870967743,0.56,,,,
184,1984,0.08354838709677426,0.58,,,,
185,1985,0.32354838709677425,0.6,,,,
186,1986,0.43354838709677423,0.62,,,,
187,1987,0.8135483870967742,0.64,,,,
188,1988,0.7935483870967743,0.67,,,,
189,1989,0.7635483870967743,0.7,,,,
190,1990,1.1635483870967742,0.74,,,,
191,1991,0.7835483870967743,0.78,,,,
192,1992,0.5235483870967743,0.83,,,,
193,1993,0.5835483870967743,0.87,,,,
194,1994,1.1735483870967742,0.91,,,,
195,1995,0.8935483870967742,0.96,,,,
196,1996,0.6235483870967743,1.0,,,,
197,1997,1.0235483870967743,1.05,,,,
198,1998,1.7535483870967743,1.1,,,,
199,1999,1.523548387096774,1.15,,,,
200,2000,0.8835483870967742,1.21,,,,
201,2001,1.2735483870967743,1.26,,,,
202,2002,1.4835483870967743,1.31,,,,
203,2003,1.2135483870967743,1.35,,,,
204,2004,1.4335483870967742,1.37,,,,
205,2005,1.1835483870967742,1.38,1.26,1.28,1.33,1.25
206,2006,1.6835483870967742,1.39,1.29,1.31,1.35,1.29
207,2007,1.8835483870967742,1.39,1.33,1.35,1.38,1.32
208,2008,1.3335483870967741,1.41,1.37,1.38,1.41,1.36
209,2009,1.543548387096774,1.42,1.41,1.42,1.44,1.4
210,2010,1.3135483870967744,1.45,1.45,1.46,1.47,1.44
211,2011,1.1035483870967742,1.47,1.49,1.49,1.5,1.48
212,2012,0.8535483870967743,1.51,1.53,1.53,1.53,1.53
213,2013,1.533548387096774,1.55,1.57,1.57,1.56,1.57
214,2014,1.4135483870967742,1.58,1.61,1.61,1.59,1.61
215,2015,1.773548387096774,1.62,1.66,1.65,1.63,1.66
216,2016,1.8135483870967741,1.66,1.7,1.69,1.67,1.7
217,2017,1.8335483870967741,1.7,1.74,1.73,1.7,1.75
218,2018,1.6035483870967742,1.74,1.78,1.77,1.74,1.79
219,2019,1.8035483870967741,1.78,1.82,1.81,1.77,1.84
220,2020,1.8435483870967742,1.83,1.87,1.85,1.81,1.89
221,2021,,,1.91,1.89,1.85,1.94
222,2022,,,1.94,1.93,1.89,1.99
223,2023,,,1.98,1.96,1.93,2.03
224,2024,,,2.01,2.0,1.96,2.08
225,2025,,,2.05,2.04,2.0,2.13
226,2026,,,2.08,2.07,2.04,2.17
227,2027,,,2.12,2.1,2.08,2.22
228,2028,,,2.15,2.14,2.13,2.26
229,2029,,,2.18,2.17,2.17,2.31
230,2030,,,2.21,2.2,2.21,2.35
231,2031,,,2.24,2.23,2.25,2.4
232,2032,,,2.27,2.26,2.28,2.44
233,2033,,,2.3,2.3,2.32,2.49
234,2034,,,2.32,2.33,2.36,2.53
235,2035,,,2.35,2.36,2.39,2.58
236,2036,,,2.37,2.39,2.43,2.63
237,2037,,,2.4,2.43,2.48,2.68
238,2038,,,2.42,2.47,2.51,2.74
239,2039,,,2.44,2.5,2.55,2.79
240,2040,,,2.46,2.54,2.59,2.85
241,2041,,,2.48,2.57,2.64,2.91
242,2042,,,2.5,2.61,2.68,2.96
243,2043,,,2.52,2.64,2.72,3.02
244,2044,,,2.53,2.67,2.77,3.09
245,2045,,,2.55,2.7,2.82,3.15
246,2046,,,2.56,2.73,2.87,3.21
247,2047,,,2.58,2.77,2.92,3.27
248,2048,,,2.58,2.8,2.96,3.33
249,2049,,,2.59,2.83,3.01,3.39
250,2050,,,2.6,2.86,3.05,3.45
251,2051,,,2.62,2.89,3.1,3.51
252,2052,,,2.63,2.92,3.14,3.57
253,2053,,,2.65,2.95,3.18,3.63
254,2054,,,2.66,2.98,3.22,3.69
255,2055,,,2.67,3.02,3.26,3.74
256,2056,,,2.68,3.05,3.3,3.81
257,2057,,,2.69,3.08,3.34,3.87
258,2058,,,2.7,3.11,3.38,3.94
259,2059,,,2.71,3.13,3.42,4.0
260,2060,,,2.72,3.16,3.47,4.06
261,2061,,,2.72,3.18,3.51,4.13
262,2062,,,2.71,3.21,3.57,4.2
263,2063,,,2.71,3.23,3.62,4.27
264,2064,,,2.71,3.25,3.68,4.34
265,2065,,,2.71,3.28,3.73,4.41
266,2066,,,2.71,3.3,3.79,4.48
267,2067,,,2.7,3.32,3.84,4.55
268,2068,,,2.7,3.34,3.89,4.62
269,2069,,,2.7,3.37,3.95,4.69
270,2070,,,2.69,3.39,4.0,4.76
271,2071,,,2.69,3.42,4.06,4.83
272,2072,,,2.69,3.44,4.12,4.89
273,2073,,,2.69,3.46,4.17,4.95
274,2074,,,2.69,3.49,4.21,5.02
275,2075,,,2.69,3.51,4.26,5.09
276,2076,,,2.69,3.53,4.31,5.15
277,2077,,,2.69,3.55,4.36,5.22
278,2078,,,2.69,3.57,4.41,5.29
279,2079,,,2.69,3.59,4.46,5.36
280,2080,,,2.69,3.61,4.52,5.43
281,2081,,,2.68,3.62,4.57,5.5
282,2082,,,2.68,3.64,4.63,5.57
283,2083,,,2.67,3.66,4.69,5.65
284,2084,,,2.66,3.67,4.74,5.72
285,2085,,,2.66,3.69,4.8,5.79
286,2086,,,2.65,3.71,4.86,5.87
287,2087,,,2.64,3.73,4.92,5.94
288,2088,,,2.63,3.74,4.97,6.01
289,2089,,,2.62,3.76,5.02,6.09
290,2090,,,2.62,3.77,5.07,6.16
291,2091,,,2.61,3.79,5.12,6.24
292,2092,,,2.61,3.8,5.17,6.31
293,2093,,,2.61,3.81,5.22,6.38
294,2094,,,2.61,3.82,5.27,6.45
295,2095,,,2.61,3.83,5.32,6.53
296,2096,,,2.61,3.85,5.37,6.6
297,2097,,,2.61,3.85,5.43,6.67
298,2098,,,2.61,3.86,5.48,6.73
299,2099,,,2.61,3.87,5.53,6.8
300,2100,,,2.61,3.88,5.59,6.88
