Niger,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
178,1978,0.7503225806451613,0.6,,,,
179,1979,0.9403225806451614,0.62,,,,
180,1980,0.8503225806451613,0.65,,,,
181,1981,0.5603225806451614,0.7,,,,
182,1982,0.6803225806451614,0.74,,,,
183,1983,0.5603225806451614,0.78,,,,
184,1984,0.8403225806451613,0.81,,,,
185,1985,0.7303225806451614,0.83,,,,
186,1986,1.0003225806451614,0.85,,,,
187,1987,1.2703225806451615,0.86,,,,
188,1988,0.9003225806451614,0.88,,,,
189,1989,0.26032258064516134,0.91,,,,
190,1990,1.1603225806451614,0.94,,,,
191,1991,0.9503225806451614,0.98,,,,
192,1992,0.26032258064516134,1.01,,,,
193,1993,0.9703225806451614,1.04,,,,
194,1994,0.5503225806451614,1.06,,,,
195,1995,1.2303225806451614,1.09,,,,
196,1996,1.3503225806451613,1.11,,,,
197,1997,1.2503225806451614,1.14,,,,
198,1998,1.4403225806451614,1.17,,,,
199,1999,1.2803225806451612,1.21,,,,
200,2000,0.8803225806451613,1.24,,,,
201,2001,1.1203225806451613,1.27,,,,
202,2002,1.2103225806451614,1.29,,,,
203,2003,1.2903225806451613,1.31,,,,
204,2004,1.3303225806451613,1.33,,,,
205,2005,1.6403225806451613,1.36,1.19,1.2,1.19,1.18
206,2006,1.3603225806451613,1.38,1.24,1.24,1.24,1.22
207,2007,1.4503225806451614,1.41,1.28,1.28,1.28,1.27
208,2008,1.0103225806451614,1.43,1.32,1.32,1.32,1.31
209,2009,1.8503225806451613,1.44,1.36,1.36,1.36,1.35
210,2010,2.2603225806451612,1.46,1.4,1.4,1.4,1.39
211,2011,1.4603225806451614,1.47,1.44,1.44,1.44,1.44
212,2012,1.2603225806451614,1.48,1.48,1.48,1.49,1.48
213,2013,1.4503225806451614,1.49,1.52,1.52,1.53,1.52
214,2014,1.6303225806451613,1.51,1.56,1.56,1.57,1.56
215,2015,1.2403225806451614,1.52,1.59,1.59,1.6,1.59
216,2016,1.9303225806451614,1.53,1.62,1.61,1.62,1.62
217,2017,1.3203225806451613,1.54,1.65,1.64,1.64,1.65
218,2018,1.7103225806451614,1.56,1.67,1.67,1.66,1.68
219,2019,1.5403225806451615,1.57,1.7,1.69,1.68,1.72
220,2020,1.5703225806451615,1.58,1.73,1.73,1.71,1.76
221,2021,,,1.77,1.76,1.74,1.8
222,2022,,,1.8,1.79,1.78,1.84
223,2023,,,1.84,1.83,1.82,1.89
224,2024,,,1.88,1.87,1.85,1.94
225,2025,,,1.92,1.9,1.88,1.99
226,2026,,,1.95,1.94,1.92,2.04
227,2027,,,1.99,1.97,1.96,2.09
228,2028,,,2.02,2.01,2.0,2.12
229,2029,,,2.06,2.04,2.04,2.16
230,2030,,,2.09,2.06,2.08,2.19
231,2031,,,2.13,2.09,2.12,2.22
232,2032,,,2.15,2.12,2.16,2.26
233,2033,,,2.18,2.15,2.19,2.29
234,2034,,,2.2,2.17,2.23,2.33
235,2035,,,2.22,2.2,2.27,2.36
236,2036,,,2.23,2.23,2.31,2.4
237,2037,,,2.24,2.26,2.36,2.44
238,2038,,,2.25,2.29,2.4,2.49
239,2039,,,2.26,2.31,2.44,2.54
240,2040,,,2.27,2.34,2.48,2.59
241,2041,,,2.28,2.38,2.52,2.65
242,2042,,,2.28,2.41,2.56,2.7
243,2043,,,2.29,2.45,2.6,2.76
244,2044,,,2.3,2.48,2.64,2.82
245,2045,,,2.32,2.51,2.68,2.87
246,2046,,,2.33,2.54,2.72,2.93
247,2047,,,2.34,2.57,2.76,2.99
248,2048,,,2.36,2.6,2.81,3.04
249,2049,,,2.37,2.62,2.84,3.09
250,2050,,,2.38,2.65,2.89,3.15
251,2051,,,2.39,2.69,2.93,3.21
252,2052,,,2.4,2.72,2.98,3.26
253,2053,,,2.4,2.75,3.02,3.33
254,2054,,,2.41,2.78,3.07,3.38
255,2055,,,2.41,2.81,3.12,3.44
256,2056,,,2.41,2.84,3.16,3.51
257,2057,,,2.41,2.87,3.21,3.58
258,2058,,,2.41,2.9,3.25,3.64
259,2059,,,2.41,2.93,3.29,3.7
260,2060,,,2.41,2.96,3.34,3.76
261,2061,,,2.4,2.98,3.38,3.82
262,2062,,,2.4,3.01,3.43,3.88
263,2063,,,2.4,3.03,3.47,3.95
264,2064,,,2.4,3.05,3.52,4.01
265,2065,,,2.4,3.07,3.57,4.07
266,2066,,,2.4,3.1,3.61,4.13
267,2067,,,2.39,3.12,3.65,4.19
268,2068,,,2.39,3.15,3.7,4.25
269,2069,,,2.38,3.17,3.74,4.31
270,2070,,,2.37,3.2,3.79,4.38
271,2071,,,2.36,3.22,3.84,4.44
272,2072,,,2.36,3.24,3.89,4.5
273,2073,,,2.35,3.26,3.94,4.56
274,2074,,,2.34,3.29,3.99,4.62
275,2075,,,2.33,3.3,4.04,4.68
276,2076,,,2.32,3.32,4.09,4.74
277,2077,,,2.32,3.34,4.14,4.81
278,2078,,,2.32,3.35,4.19,4.88
279,2079,,,2.32,3.37,4.24,4.96
280,2080,,,2.32,3.38,4.29,5.03
281,2081,,,2.32,3.39,4.34,5.1
282,2082,,,2.31,3.4,4.39,5.18
283,2083,,,2.31,3.41,4.44,5.26
284,2084,,,2.3,3.43,4.49,5.33
285,2085,,,2.29,3.44,4.54,5.4
286,2086,,,2.29,3.46,4.59,5.47
287,2087,,,2.28,3.48,4.64,5.54
288,2088,,,2.26,3.49,4.69,5.61
289,2089,,,2.25,3.51,4.74,5.68
290,2090,,,2.23,3.53,4.79,5.75
291,2091,,,2.22,3.56,4.84,5.82
292,2092,,,2.22,3.57,4.9,5.9
293,2093,,,2.21,3.59,4.96,5.97
294,2094,,,2.21,3.61,5.02,6.03
295,2095,,,2.21,3.63,5.08,6.1
296,2096,,,2.21,3.65,5.14,6.17
297,2097,,,2.21,3.67,5.2,6.24
298,2098,,,2.21,3.68,5.26,6.3
299,2099,,,2.21,3.7,5.32,6.36
300,2100,,,2.21,3.72,5.38,6.44
