Pakistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
171,1971,0.8254838709677419,0.45,,,,
172,1972,-0.05451612903225811,0.47,,,,
173,1973,0.6254838709677419,0.49,,,,
174,1974,0.32548387096774195,0.52,,,,
175,1975,0.015483870967741953,0.53,,,,
176,1976,0.22548387096774192,0.53,,,,
177,1977,1.0254838709677419,0.53,,,,
178,1978,0.525483870967742,0.54,,,,
179,1979,0.5654838709677419,0.56,,,,
180,1980,1.145483870967742,0.58,,,,
181,1981,0.955483870967742,0.61,,,,
182,1982,0.21548387096774196,0.64,,,,
183,1983,0.27548387096774196,0.66,,,,
184,1984,0.555483870967742,0.66,,,,
185,1985,0.955483870967742,0.66,,,,
186,1986,0.30548387096774193,0.66,,,,
187,1987,1.015483870967742,0.66,,,,
188,1988,1.405483870967742,0.67,,,,
189,1989,0.31548387096774194,0.68,,,,
190,1990,0.955483870967742,0.69,,,,
191,1991,0.4754838709677419,0.7,,,,
192,1992,0.27548387096774196,0.71,,,,
193,1993,1.035483870967742,0.74,,,,
194,1994,0.7554838709677419,0.79,,,,
195,1995,0.6154838709677419,0.85,,,,
196,1996,0.555483870967742,0.93,,,,
197,1997,0.31548387096774194,1.01,,,,
198,1998,1.2554838709677418,1.09,,,,
199,1999,1.4654838709677418,1.17,,,,
200,2000,1.425483870967742,1.24,,,,
201,2001,1.585483870967742,1.3,,,,
202,2002,1.645483870967742,1.36,,,,
203,2003,1.095483870967742,1.41,,,,
204,2004,1.7954838709677419,1.44,,,,
205,2005,0.765483870967742,1.45,1.22,1.21,1.23,1.2
206,2006,1.785483870967742,1.45,1.24,1.23,1.25,1.22
207,2007,1.385483870967742,1.44,1.27,1.26,1.28,1.25
208,2008,1.1954838709677418,1.42,1.29,1.29,1.3,1.28
209,2009,1.5454838709677419,1.41,1.32,1.32,1.33,1.31
210,2010,1.765483870967742,1.41,1.34,1.34,1.35,1.34
211,2011,1.4654838709677418,1.42,1.37,1.37,1.38,1.37
212,2012,0.8754838709677419,1.43,1.39,1.4,1.4,1.4
213,2013,1.405483870967742,1.43,1.42,1.43,1.43,1.43
214,2014,1.015483870967742,1.43,1.45,1.46,1.46,1.46
215,2015,1.355483870967742,1.42,1.49,1.49,1.49,1.5
216,2016,2.165483870967742,1.41,1.52,1.52,1.51,1.53
217,2017,1.725483870967742,1.41,1.55,1.55,1.54,1.56
218,2018,2.005483870967742,1.4,1.59,1.58,1.57,1.6
219,2019,1.145483870967742,1.4,1.62,1.62,1.59,1.63
220,2020,1.075483870967742,1.4,1.66,1.65,1.63,1.67
221,2021,,,1.69,1.69,1.66,1.71
222,2022,,,1.73,1.72,1.7,1.75
223,2023,,,1.76,1.75,1.74,1.79
224,2024,,,1.79,1.78,1.77,1.83
225,2025,,,1.83,1.81,1.81,1.87
226,2026,,,1.86,1.84,1.84,1.91
227,2027,,,1.89,1.87,1.88,1.95
228,2028,,,1.92,1.9,1.92,2.0
229,2029,,,1.95,1.93,1.96,2.04
230,2030,,,1.98,1.96,2.0,2.08
231,2031,,,2.01,1.98,2.03,2.12
232,2032,,,2.04,2.01,2.06,2.17
233,2033,,,2.06,2.04,2.1,2.21
234,2034,,,2.09,2.07,2.13,2.25
235,2035,,,2.11,2.1,2.17,2.3
236,2036,,,2.14,2.13,2.21,2.35
237,2037,,,2.16,2.17,2.25,2.4
238,2038,,,2.18,2.2,2.28,2.45
239,2039,,,2.2,2.23,2.32,2.51
240,2040,,,2.22,2.27,2.36,2.57
241,2041,,,2.24,2.3,2.41,2.63
242,2042,,,2.26,2.33,2.46,2.69
243,2043,,,2.28,2.37,2.5,2.75
244,2044,,,2.3,2.41,2.54,2.81
245,2045,,,2.32,2.44,2.58,2.88
246,2046,,,2.34,2.48,2.63,2.94
247,2047,,,2.36,2.52,2.67,3.01
248,2048,,,2.38,2.56,2.71,3.07
249,2049,,,2.39,2.59,2.75,3.13
250,2050,,,2.4,2.62,2.79,3.18
251,2051,,,2.4,2.66,2.83,3.24
252,2052,,,2.41,2.69,2.86,3.3
253,2053,,,2.42,2.72,2.9,3.36
254,2054,,,2.42,2.75,2.94,3.42
255,2055,,,2.43,2.78,2.98,3.47
256,2056,,,2.44,2.81,3.03,3.53
257,2057,,,2.44,2.84,3.07,3.6
258,2058,,,2.45,2.87,3.12,3.65
259,2059,,,2.45,2.9,3.17,3.71
260,2060,,,2.46,2.93,3.22,3.77
261,2061,,,2.46,2.96,3.27,3.83
262,2062,,,2.46,2.99,3.32,3.89
263,2063,,,2.46,3.02,3.37,3.96
264,2064,,,2.46,3.05,3.43,4.02
265,2065,,,2.46,3.08,3.48,4.08
266,2066,,,2.46,3.11,3.53,4.15
267,2067,,,2.45,3.13,3.58,4.21
268,2068,,,2.45,3.15,3.63,4.28
269,2069,,,2.45,3.17,3.67,4.35
270,2070,,,2.44,3.19,3.72,4.41
271,2071,,,2.44,3.2,3.77,4.48
272,2072,,,2.45,3.22,3.82,4.54
273,2073,,,2.45,3.23,3.86,4.61
274,2074,,,2.45,3.24,3.91,4.68
275,2075,,,2.45,3.25,3.96,4.74
276,2076,,,2.46,3.26,4.01,4.8
277,2077,,,2.46,3.29,4.06,4.87
278,2078,,,2.46,3.31,4.1,4.93
279,2079,,,2.46,3.32,4.16,5.01
280,2080,,,2.46,3.34,4.21,5.08
281,2081,,,2.46,3.36,4.27,5.15
282,2082,,,2.46,3.38,4.32,5.22
283,2083,,,2.46,3.4,4.38,5.29
284,2084,,,2.45,3.42,4.43,5.37
285,2085,,,2.45,3.44,4.49,5.44
286,2086,,,2.44,3.46,4.54,5.52
287,2087,,,2.43,3.48,4.59,5.59
288,2088,,,2.42,3.49,4.64,5.67
289,2089,,,2.41,3.51,4.69,5.74
290,2090,,,2.4,3.52,4.74,5.81
291,2091,,,2.39,3.54,4.79,5.88
292,2092,,,2.38,3.55,4.84,5.95
293,2093,,,2.37,3.55,4.9,6.01
294,2094,,,2.37,3.56,4.96,6.08
295,2095,,,2.36,3.57,5.02,6.15
296,2096,,,2.35,3.58,5.08,6.21
297,2097,,,2.34,3.59,5.14,6.28
298,2098,,,2.33,3.59,5.2,6.34
299,2099,,,2.33,3.6,5.25,6.4
300,2100,,,2.32,3.61,5.32,6.47
