Albania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
146,1946,1.0467741935483872,0.49,,,,
147,1947,1.0167741935483872,0.53,,,,
148,1948,0.2467741935483871,0.56,,,,
149,1949,0.03677419354838707,0.57,,,,
150,1950,1.336774193548387,0.58,,,,
151,1951,1.146774193548387,0.58,,,,
152,1952,1.116774193548387,0.57,,,,
153,1953,0.14677419354838708,0.57,,,,
154,1954,-0.07322580645161292,0.57,,,,
155,1955,0.6967741935483871,0.56,,,,
156,1956,-0.30322580645161296,0.56,,,,
157,1957,0.6667741935483871,0.55,,,,
158,1958,0.7767741935483872,0.53,,,,
159,1959,-0.01322580645161292,0.51,,,,
160,1960,0.9267741935483871,0.51,,,,
161,1961,0.8267741935483871,0.51,,,,
162,1962,0.5967741935483871,0.51,,,,
163,1963,0.6967741935483871,0.5,,,,
164,1964,0.20677419354838708,0.48,,,,
165,1965,0.03677419354838707,0.46,,,,
166,1966,0.856774193548387,0.43,,,,
167,1967,0.27677419354838706,0.39,,,,
168,1968,0.4467741935483871,0.35,,,,
169,1969,0.3067741935483871,0.32,,,,
170,1970,0.3567741935483871,0.29,,,,
171,1971,0.1567741935483871,0.27,,,,
172,1972,0.2667741935483871,0.25,,,,
173,1973,0.14677419354838708,0.23,,,,
174,1974,0.1967741935483871,0.22,,,,
175,1975,0.20677419354838708,0.21,,,,
176,1976,-0.3532258064516129,0.21,,,,
177,1977,0.8067741935483871,0.21,,,,
178,1978,-0.15322580645161293,0.23,,,,
179,1979,0.616774193548387,0.25,,,,
180,1980,-0.21322580645161288,0.27,,,,
181,1981,0.1967741935483871,0.31,,,,
182,1982,0.6667741935483871,0.35,,,,
183,1983,0.1667741935483871,0.39,,,,
184,1984,0.23677419354838708,0.42,,,,
185,1985,0.5467741935483871,0.46,,,,
186,1986,0.6767741935483871,0.5,,,,
187,1987,0.6067741935483871,0.54,,,,
188,1988,0.6767741935483871,0.58,,,,
189,1989,0.4967741935483871,0.61,,,,
190,1990,1.146774193548387,0.63,,,,
191,1991,-0.01322580645161292,0.65,,,,
192,1992,0.7067741935483871,0.69,,,,
193,1993,0.7567741935483872,0.73,,,,
194,1994,1.7367741935483871,0.77,,,,
195,1995,0.4167741935483871,0.83,,,,
196,1996,0.3667741935483871,0.88,,,,
197,1997,0.5667741935483871,0.93,,,,
198,1998,0.9867741935483871,0.97,,,,
199,1999,1.2967741935483872,1.0,,,,
200,2000,1.436774193548387,1.04,,,,
201,2001,1.456774193548387,1.09,,,,
202,2002,1.2867741935483872,1.14,,,,
203,2003,1.336774193548387,1.2,,,,
204,2004,0.9567741935483871,1.25,,,,
205,2005,0.4367741935483871,1.29,1.33,1.36,1.41,1.34
206,2006,0.6967741935483871,1.33,1.37,1.39,1.44,1.37
207,2007,1.596774193548387,1.36,1.41,1.43,1.47,1.41
208,2008,1.646774193548387,1.39,1.45,1.46,1.5,1.45
209,2009,1.536774193548387,1.43,1.49,1.49,1.53,1.49
210,2010,1.506774193548387,1.48,1.53,1.53,1.56,1.53
211,2011,1.316774193548387,1.54,1.57,1.57,1.59,1.57
212,2012,1.7267741935483871,1.6,1.61,1.6,1.62,1.61
213,2013,1.846774193548387,1.65,1.65,1.64,1.64,1.64
214,2014,1.7267741935483871,1.71,1.68,1.67,1.67,1.68
215,2015,1.756774193548387,1.76,1.73,1.72,1.7,1.72
216,2016,1.656774193548387,1.81,1.77,1.76,1.72,1.76
217,2017,1.536774193548387,1.86,1.81,1.8,1.75,1.81
218,2018,2.266774193548387,1.91,1.85,1.84,1.79,1.85
219,2019,2.0867741935483872,1.95,1.9,1.89,1.83,1.9
220,2020,1.816774193548387,2.0,1.94,1.93,1.86,1.94
221,2021,,,1.98,1.98,1.9,1.98
222,2022,,,2.01,2.02,1.94,2.02
223,2023,,,2.04,2.05,1.98,2.06
224,2024,,,2.07,2.09,2.02,2.09
225,2025,,,2.1,2.12,2.06,2.13
226,2026,,,2.12,2.15,2.1,2.16
227,2027,,,2.14,2.17,2.15,2.2
228,2028,,,2.16,2.2,2.19,2.24
229,2029,,,2.18,2.23,2.23,2.28
230,2030,,,2.2,2.26,2.27,2.32
231,2031,,,2.22,2.29,2.31,2.36
232,2032,,,2.24,2.32,2.36,2.4
233,2033,,,2.26,2.35,2.4,2.45
234,2034,,,2.28,2.38,2.44,2.5
235,2035,,,2.29,2.41,2.48,2.55
236,2036,,,2.31,2.43,2.51,2.6
237,2037,,,2.33,2.46,2.55,2.65
238,2038,,,2.35,2.48,2.58,2.7
239,2039,,,2.38,2.5,2.6,2.75
240,2040,,,2.4,2.52,2.63,2.8
241,2041,,,2.42,2.54,2.67,2.85
242,2042,,,2.44,2.57,2.7,2.9
243,2043,,,2.47,2.59,2.73,2.95
244,2044,,,2.49,2.61,2.77,3.0
245,2045,,,2.5,2.64,2.82,3.05
246,2046,,,2.52,2.67,2.86,3.1
247,2047,,,2.54,2.71,2.91,3.16
248,2048,,,2.55,2.75,2.96,3.21
249,2049,,,2.56,2.78,3.0,3.27
250,2050,,,2.56,2.81,3.06,3.33
251,2051,,,2.57,2.84,3.1,3.38
252,2052,,,2.57,2.87,3.14,3.44
253,2053,,,2.57,2.89,3.17,3.51
254,2054,,,2.57,2.91,3.21,3.56
255,2055,,,2.57,2.93,3.24,3.62
256,2056,,,2.58,2.95,3.27,3.67
257,2057,,,2.59,2.97,3.31,3.73
258,2058,,,2.6,2.99,3.36,3.78
259,2059,,,2.6,3.01,3.4,3.83
260,2060,,,2.6,3.03,3.44,3.87
261,2061,,,2.61,3.05,3.49,3.92
262,2062,,,2.61,3.07,3.53,3.98
263,2063,,,2.62,3.1,3.57,4.04
264,2064,,,2.62,3.12,3.62,4.09
265,2065,,,2.63,3.14,3.66,4.15
266,2066,,,2.62,3.16,3.71,4.22
267,2067,,,2.62,3.18,3.75,4.29
268,2068,,,2.61,3.2,3.79,4.35
269,2069,,,2.6,3.22,3.82,4.42
270,2070,,,2.59,3.23,3.86,4.49
271,2071,,,2.59,3.24,3.91,4.55
272,2072,,,2.59,3.26,3.96,4.61
273,2073,,,2.58,3.27,4.01,4.67
274,2074,,,2.57,3.29,4.06,4.73
275,2075,,,2.56,3.31,4.11,4.79
276,2076,,,2.55,3.32,4.16,4.85
277,2077,,,2.55,3.34,4.21,4.91
278,2078,,,2.54,3.36,4.25,4.96
279,2079,,,2.54,3.38,4.3,5.02
280,2080,,,2.54,3.39,4.34,5.08
281,2081,,,2.54,3.41,4.39,5.13
282,2082,,,2.54,3.44,4.43,5.2
283,2083,,,2.54,3.46,4.47,5.26
284,2084,,,2.54,3.47,4.52,5.33
285,2085,,,2.54,3.49,4.56,5.39
286,2086,,,2.54,3.5,4.61,5.45
287,2087,,,2.54,3.52,4.65,5.51
288,2088,,,2.54,3.53,4.7,5.57
289,2089,,,2.54,3.54,4.76,5.64
290,2090,,,2.54,3.56,4.81,5.71
291,2091,,,2.53,3.57,4.86,5.78
292,2092,,,2.52,3.59,4.92,5.86
293,2093,,,2.51,3.6,4.98,5.93
294,2094,,,2.51,3.6,5.03,6.0
295,2095,,,2.5,3.61,5.08,6.07
296,2096,,,2.5,3.62,5.14,6.14
297,2097,,,2.5,3.63,5.2,6.21
298,2098,,,2.49,3.64,5.25,6.27
299,2099,,,2.49,3.64,5.31,6.34
300,2100,,,2.49,3.65,5.37,6.42
