Turkmenistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
112,1912,0.11032258064516132,0.11,,,,
113,1913,0.15032258064516132,0.13,,,,
114,1914,0.9803225806451613,0.14,,,,
115,1915,1.6003225806451613,0.15,,,,
116,1916,-0.4196774193548387,0.16,,,,
117,1917,0.8303225806451613,0.16,,,,
118,1918,-0.4296774193548387,0.16,,,,
119,1919,0.28032258064516136,0.15,,,,
120,1920,-1.4896774193548388,0.13,,,,
121,1921,-0.11967741935483867,0.1,,,,
122,1922,0.8503225806451613,0.05,,,,
123,1923,-0.20967741935483863,-0.01,,,,
124,1924,-0.12967741935483867,-0.08,,,,
125,1925,0.7803225806451612,-0.16,,,,
126,1926,0.0903225806451613,-0.23,,,,
127,1927,0.0303225806451613,-0.3,,,,
128,1928,-0.9796774193548388,-0.37,,,,
129,1929,-1.4396774193548387,-0.42,,,,
130,1930,-0.7596774193548386,-0.45,,,,
131,1931,-1.0696774193548386,-0.47,,,,
132,1932,-0.4196774193548387,-0.45,,,,
133,1933,-0.17967741935483872,-0.39,,,,
134,1934,-1.1696774193548387,-0.28,,,,
135,1935,-0.22967741935483865,-0.14,,,,
136,1936,0.17032258064516131,0.01,,,,
137,1937,-0.24967741935483867,0.14,,,,
138,1938,0.5803225806451613,0.23,,,,
139,1939,0.6203225806451613,0.3,,,,
140,1940,1.2003225806451612,0.36,,,,
141,1941,1.4703225806451614,0.41,,,,
142,1942,0.4603225806451613,0.44,,,,
143,1943,-0.6596774193548387,0.43,,,,
144,1944,0.9203225806451614,0.39,,,,
145,1945,-0.4096774193548387,0.32,,,,
146,1946,0.26032258064516134,0.25,,,,
147,1947,0.9803225806451613,0.18,,,,
148,1948,0.5103225806451613,0.13,,,,
149,1949,-1.0996774193548386,0.1,,,,
150,1950,-0.9396774193548387,0.08,,,,
151,1951,-0.12967741935483867,0.07,,,,
152,1952,0.05032258064516132,0.05,,,,
153,1953,0.4803225806451613,0.05,,,,
154,1954,-0.35967741935483866,0.06,,,,
155,1955,1.4703225806451614,0.1,,,,
156,1956,0.010322580645161339,0.17,,,,
157,1957,-0.24967741935483867,0.25,,,,
158,1958,0.8803225806451613,0.32,,,,
159,1959,-0.4096774193548387,0.38,,,,
160,1960,0.28032258064516136,0.43,,,,
161,1961,1.2303225806451614,0.49,,,,
162,1962,0.5303225806451614,0.54,,,,
163,1963,1.2503225806451614,0.59,,,,
164,1964,-0.4296774193548387,0.65,,,,
165,1965,0.7703225806451613,0.69,,,,
166,1966,1.3103225806451613,0.72,,,,
167,1967,0.4303225806451613,0.73,,,,
168,1968,0.5403225806451614,0.72,,,,
169,1969,-1.1496774193548387,0.69,,,,
170,1970,0.9503225806451613,0.66,,,,
171,1971,1.2803225806451612,0.63,,,,
172,1972,-1.1396774193548387,0.61,,,,
173,1973,0.7203225806451613,0.61,,,,
174,1974,-0.49967741935483867,0.6,,,,
175,1975,0.8203225806451613,0.61,,,,
176,1976,-0.36967741935483867,0.6,,,,
177,1977,0.6503225806451614,0.61,,,,
178,1978,0.4103225806451613,0.62,,,,
179,1979,1.0703225806451613,0.64,,,,
180,1980,0.7403225806451613,0.68,,,,
181,1981,1.3103225806451613,0.72,,,,
182,1982,-0.12967741935483867,0.77,,,,
183,1983,1.6203225806451613,0.81,,,,
184,1984,-0.3096774193548387,0.85,,,,
185,1985,0.8403225806451613,0.87,,,,
186,1986,0.8603225806451613,0.87,,,,
187,1987,0.8003225806451613,0.86,,,,
188,1988,1.2903225806451615,0.85,,,,
189,1989,0.9403225806451613,0.85,,,,
190,1990,1.2503225806451614,0.86,,,,
191,1991,0.8303225806451613,0.9,,,,
192,1992,0.3503225806451613,0.94,,,,
193,1993,-0.019677419354838688,0.99,,,,
194,1994,0.6303225806451613,1.05,,,,
195,1995,1.7603225806451612,1.1,,,,
196,1996,0.5803225806451613,1.17,,,,
197,1997,1.5903225806451613,1.24,,,,
198,1998,1.4303225806451614,1.33,,,,
199,1999,1.6703225806451614,1.41,,,,
200,2000,1.6803225806451614,1.49,,,,
201,2001,1.8503225806451613,1.54,,,,
202,2002,1.6003225806451613,1.56,,,,
203,2003,0.8903225806451613,1.57,,,,
204,2004,1.8903225806451613,1.57,,,,
205,2005,1.7903225806451613,1.56,1.35,1.34,1.37,1.35
206,2006,1.6603225806451614,1.55,1.39,1.38,1.41,1.39
207,2007,1.4403225806451614,1.53,1.43,1.42,1.45,1.43
208,2008,1.0603225806451613,1.52,1.47,1.46,1.48,1.47
209,2009,1.5403225806451613,1.53,1.51,1.5,1.52,1.51
210,2010,2.240322580645161,1.55,1.55,1.54,1.56,1.55
211,2011,0.9703225806451613,1.57,1.59,1.58,1.6,1.59
212,2012,1.1203225806451613,1.62,1.63,1.62,1.63,1.63
213,2013,2.0903225806451613,1.65,1.67,1.67,1.67,1.67
214,2014,1.0003225806451614,1.68,1.71,1.71,1.7,1.71
215,2015,1.8503225806451613,1.7,1.76,1.76,1.75,1.76
216,2016,2.250322580645161,1.73,1.8,1.8,1.79,1.8
217,2017,1.7703225806451612,1.77,1.84,1.85,1.83,1.84
218,2018,1.9503225806451614,1.8,1.88,1.9,1.87,1.88
219,2019,2.160322580645161,1.83,1.93,1.94,1.9,1.92
220,2020,1.1803225806451614,1.87,1.97,1.99,1.94,1.96
221,2021,,,2.01,2.03,1.97,2.0
222,2022,,,2.05,2.06,2.01,2.04
223,2023,,,2.08,2.1,2.05,2.08
224,2024,,,2.11,2.13,2.08,2.12
225,2025,,,2.15,2.16,2.11,2.16
226,2026,,,2.19,2.19,2.15,2.21
227,2027,,,2.22,2.21,2.19,2.26
228,2028,,,2.25,2.24,2.23,2.31
229,2029,,,2.28,2.26,2.27,2.36
230,2030,,,2.31,2.29,2.3,2.41
231,2031,,,2.33,2.31,2.34,2.46
232,2032,,,2.36,2.33,2.38,2.51
233,2033,,,2.38,2.35,2.41,2.56
234,2034,,,2.4,2.38,2.45,2.61
235,2035,,,2.41,2.41,2.48,2.66
236,2036,,,2.42,2.43,2.52,2.71
237,2037,,,2.43,2.46,2.56,2.76
238,2038,,,2.44,2.49,2.61,2.82
239,2039,,,2.45,2.52,2.65,2.87
240,2040,,,2.46,2.54,2.69,2.92
241,2041,,,2.47,2.58,2.74,2.97
242,2042,,,2.49,2.61,2.79,3.02
243,2043,,,2.5,2.65,2.83,3.08
244,2044,,,2.52,2.68,2.88,3.14
245,2045,,,2.54,2.71,2.93,3.2
246,2046,,,2.56,2.75,2.98,3.26
247,2047,,,2.58,2.79,3.02,3.32
248,2048,,,2.59,2.83,3.06,3.37
249,2049,,,2.61,2.87,3.09,3.43
250,2050,,,2.63,2.91,3.13,3.49
251,2051,,,2.64,2.95,3.17,3.56
252,2052,,,2.65,2.98,3.21,3.62
253,2053,,,2.66,3.01,3.25,3.69
254,2054,,,2.67,3.04,3.3,3.76
255,2055,,,2.67,3.07,3.34,3.81
256,2056,,,2.68,3.09,3.39,3.88
257,2057,,,2.68,3.12,3.44,3.95
258,2058,,,2.69,3.14,3.48,4.02
259,2059,,,2.69,3.16,3.53,4.09
260,2060,,,2.69,3.18,3.57,4.15
261,2061,,,2.69,3.2,3.61,4.23
262,2062,,,2.69,3.22,3.66,4.29
263,2063,,,2.68,3.24,3.7,4.36
264,2064,,,2.68,3.26,3.75,4.42
265,2065,,,2.68,3.28,3.8,4.48
266,2066,,,2.68,3.31,3.85,4.54
267,2067,,,2.67,3.33,3.9,4.6
268,2068,,,2.67,3.36,3.94,4.66
269,2069,,,2.67,3.38,3.99,4.72
270,2070,,,2.66,3.4,4.04,4.77
271,2071,,,2.66,3.42,4.1,4.83
272,2072,,,2.66,3.44,4.15,4.89
273,2073,,,2.67,3.46,4.2,4.95
274,2074,,,2.67,3.47,4.24,5.01
275,2075,,,2.67,3.49,4.29,5.07
276,2076,,,2.68,3.5,4.34,5.13
277,2077,,,2.68,3.52,4.39,5.19
278,2078,,,2.68,3.54,4.44,5.26
279,2079,,,2.68,3.56,4.5,5.33
280,2080,,,2.67,3.58,4.55,5.41
281,2081,,,2.67,3.6,4.6,5.48
282,2082,,,2.67,3.62,4.66,5.56
283,2083,,,2.66,3.64,4.71,5.64
284,2084,,,2.66,3.66,4.77,5.72
285,2085,,,2.65,3.68,4.82,5.8
286,2086,,,2.64,3.7,4.87,5.87
287,2087,,,2.63,3.72,4.93,5.95
288,2088,,,2.62,3.74,4.98,6.03
289,2089,,,2.6,3.75,5.03,6.1
290,2090,,,2.59,3.76,5.07,6.18
291,2091,,,2.58,3.77,5.11,6.25
292,2092,,,2.57,3.78,5.16,6.32
293,2093,,,2.56,3.79,5.22,6.39
294,2094,,,2.55,3.8,5.27,6.46
295,2095,,,2.54,3.81,5.32,6.54
296,2096,,,2.53,3.82,5.37,6.61
297,2097,,,2.53,3.83,5.42,6.68
298,2098,,,2.52,3.84,5.48,6.75
299,2099,,,2.51,3.85,5.53,6.81
300,2100,,,2.5,3.86,5.58,6.9
