Jordan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
109,1909,0.5190322580645161,-0.37,,,,
110,1910,-0.4809677419354839,-0.36,,,,
111,1911,-0.8209677419354839,-0.33,,,,
112,1912,-0.18096774193548387,-0.3,,,,
113,1913,-0.7909677419354839,-0.27,,,,
114,1914,-0.4909677419354839,-0.24,,,,
115,1915,0.2190322580645161,-0.21,,,,
116,1916,0.3590322580645161,-0.17,,,,
117,1917,0.06903225806451607,-0.12,,,,
118,1918,-0.27096774193548395,-0.06,,,,
119,1919,0.19903225806451608,-0.01,,,,
120,1920,-0.5009677419354839,0.04,,,,
121,1921,-0.5509677419354839,0.08,,,,
122,1922,0.3590322580645161,0.11,,,,
123,1923,0.37903225806451607,0.14,,,,
124,1924,0.2890322580645161,0.18,,,,
125,1925,0.12903225806451607,0.22,,,,
126,1926,0.07903225806451608,0.26,,,,
127,1927,0.4490322580645161,0.28,,,,
128,1928,0.6090322580645161,0.3,,,,
129,1929,0.22903225806451608,0.31,,,,
130,1930,0.649032258064516,0.33,,,,
131,1931,0.29903225806451605,0.36,,,,
132,1932,0.0990322580645161,0.38,,,,
133,1933,-0.3209677419354839,0.39,,,,
134,1934,0.2490322580645161,0.4,,,,
135,1935,0.7890322580645162,0.41,,,,
136,1936,0.669032258064516,0.41,,,,
137,1937,0.8590322580645161,0.41,,,,
138,1938,-0.010967741935483888,0.41,,,,
139,1939,0.5090322580645161,0.4,,,,
140,1940,0.4690322580645161,0.38,,,,
141,1941,0.649032258064516,0.35,,,,
142,1942,0.3490322580645161,0.3,,,,
143,1943,-0.05096774193548392,0.26,,,,
144,1944,0.22903225806451608,0.23,,,,
145,1945,-0.3309677419354839,0.22,,,,
146,1946,0.31903225806451607,0.23,,,,
147,1947,1.089032258064516,0.24,,,,
148,1948,-0.40096774193548396,0.26,,,,
149,1949,-0.670967741935484,0.29,,,,
150,1950,0.1790322580645161,0.32,,,,
151,1951,0.8090322580645161,0.36,,,,
152,1952,0.889032258064516,0.39,,,,
153,1953,-0.11096774193548392,0.43,,,,
154,1954,0.5890322580645161,0.46,,,,
155,1955,1.0790322580645162,0.49,,,,
156,1956,0.2490322580645161,0.52,,,,
157,1957,0.30903225806451606,0.54,,,,
158,1958,0.7690322580645161,0.55,,,,
159,1959,-0.3409677419354839,0.56,,,,
160,1960,1.219032258064516,0.57,,,,
161,1961,0.0390322580645161,0.58,,,,
162,1962,1.389032258064516,0.58,,,,
163,1963,1.0690322580645162,0.57,,,,
164,1964,-0.26096774193548394,0.57,,,,
165,1965,0.4990322580645161,0.54,,,,
166,1966,1.109032258064516,0.5,,,,
167,1967,-0.690967741935484,0.45,,,,
168,1968,0.2690322580645161,0.39,,,,
169,1969,0.7290322580645161,0.33,,,,
170,1970,0.4090322580645161,0.26,,,,
171,1971,-0.0909677419354839,0.22,,,,
172,1972,-0.29096774193548386,0.18,,,,
173,1973,0.20903225806451609,0.17,,,,
174,1974,0.0390322580645161,0.17,,,,
175,1975,-0.12096774193548393,0.18,,,,
176,1976,-0.15096774193548396,0.18,,,,
177,1977,0.3690322580645161,0.18,,,,
178,1978,0.5590322580645161,0.18,,,,
179,1979,1.0690322580645162,0.19,,,,
180,1980,0.4190322580645161,0.21,,,,
181,1981,0.3690322580645161,0.23,,,,
182,1982,-0.5109677419354839,0.26,,,,
183,1983,-0.4609677419354839,0.27,,,,
184,1984,-0.13096774193548394,0.28,,,,
185,1985,0.4590322580645161,0.28,,,,
186,1986,0.3890322580645161,0.29,,,,
187,1987,0.5090322580645161,0.32,,,,
188,1988,0.4090322580645161,0.36,,,,
189,1989,0.2690322580645161,0.42,,,,
190,1990,0.5290322580645161,0.47,,,,
191,1991,0.5190322580645161,0.52,,,,
192,1992,-0.7309677419354839,0.57,,,,
193,1993,0.3290322580645161,0.62,,,,
194,1994,0.869032258064516,0.67,,,,
195,1995,0.4890322580645161,0.72,,,,
196,1996,1.0790322580645162,0.77,,,,
197,1997,0.07903225806451608,0.82,,,,
198,1998,1.469032258064516,0.85,,,,
199,1999,1.2790322580645161,0.87,,,,
200,2000,0.6190322580645161,0.89,,,,
201,2001,1.2990322580645162,0.91,,,,
202,2002,0.9390322580645161,0.92,,,,
203,2003,0.8290322580645161,0.92,,,,
204,2004,0.8390322580645161,0.92,,,,
205,2005,0.7190322580645161,0.92,1.08,1.04,1.09,1.06
206,2006,0.7090322580645161,0.93,1.11,1.08,1.12,1.1
207,2007,0.9990322580645161,0.96,1.15,1.13,1.16,1.14
208,2008,1.119032258064516,1.0,1.19,1.17,1.2,1.18
209,2009,1.0190322580645161,1.05,1.23,1.21,1.23,1.22
210,2010,2.829032258064516,1.12,1.27,1.25,1.27,1.26
211,2011,0.5990322580645161,1.19,1.3,1.3,1.31,1.3
212,2012,1.469032258064516,1.28,1.34,1.34,1.35,1.34
213,2013,1.149032258064516,1.36,1.38,1.38,1.38,1.38
214,2014,1.429032258064516,1.44,1.41,1.42,1.42,1.42
215,2015,1.4990322580645161,1.53,1.45,1.47,1.45,1.46
216,2016,1.879032258064516,1.61,1.48,1.5,1.48,1.49
217,2017,1.589032258064516,1.7,1.51,1.54,1.51,1.53
218,2018,2.1790322580645163,1.78,1.55,1.58,1.54,1.57
219,2019,1.559032258064516,1.87,1.59,1.62,1.58,1.61
220,2020,1.969032258064516,1.96,1.64,1.66,1.61,1.66
221,2021,,,1.68,1.7,1.65,1.7
222,2022,,,1.73,1.73,1.69,1.75
223,2023,,,1.77,1.77,1.72,1.8
224,2024,,,1.81,1.8,1.76,1.84
225,2025,,,1.85,1.83,1.79,1.89
226,2026,,,1.88,1.86,1.83,1.94
227,2027,,,1.91,1.88,1.87,1.98
228,2028,,,1.94,1.91,1.91,2.03
229,2029,,,1.97,1.93,1.95,2.07
230,2030,,,1.99,1.95,1.99,2.11
231,2031,,,2.01,1.98,2.03,2.14
232,2032,,,2.03,2.0,2.06,2.18
233,2033,,,2.05,2.03,2.1,2.22
234,2034,,,2.06,2.06,2.13,2.26
235,2035,,,2.08,2.09,2.17,2.3
236,2036,,,2.1,2.12,2.2,2.35
237,2037,,,2.11,2.15,2.24,2.39
238,2038,,,2.13,2.18,2.28,2.44
239,2039,,,2.14,2.21,2.31,2.49
240,2040,,,2.16,2.24,2.35,2.55
241,2041,,,2.18,2.27,2.39,2.61
242,2042,,,2.2,2.31,2.43,2.66
243,2043,,,2.22,2.34,2.47,2.72
244,2044,,,2.24,2.37,2.52,2.78
245,2045,,,2.26,2.39,2.57,2.84
246,2046,,,2.28,2.42,2.62,2.9
247,2047,,,2.29,2.46,2.67,2.95
248,2048,,,2.31,2.49,2.72,3.01
249,2049,,,2.32,2.52,2.76,3.06
250,2050,,,2.33,2.55,2.81,3.12
251,2051,,,2.34,2.58,2.85,3.17
252,2052,,,2.34,2.6,2.89,3.22
253,2053,,,2.34,2.63,2.93,3.28
254,2054,,,2.35,2.65,2.96,3.34
255,2055,,,2.35,2.68,2.99,3.39
256,2056,,,2.36,2.7,3.03,3.45
257,2057,,,2.36,2.73,3.06,3.51
258,2058,,,2.36,2.75,3.1,3.57
259,2059,,,2.36,2.77,3.14,3.62
260,2060,,,2.36,2.79,3.18,3.68
261,2061,,,2.35,2.81,3.22,3.74
262,2062,,,2.34,2.83,3.27,3.8
263,2063,,,2.34,2.86,3.31,3.86
264,2064,,,2.34,2.89,3.36,3.92
265,2065,,,2.34,2.91,3.42,3.98
266,2066,,,2.33,2.94,3.47,4.04
267,2067,,,2.33,2.96,3.52,4.11
268,2068,,,2.32,2.98,3.57,4.17
269,2069,,,2.32,3.01,3.61,4.23
270,2070,,,2.31,3.03,3.66,4.29
271,2071,,,2.31,3.05,3.71,4.35
272,2072,,,2.31,3.07,3.75,4.41
273,2073,,,2.31,3.08,3.8,4.46
274,2074,,,2.31,3.1,3.84,4.52
275,2075,,,2.3,3.11,3.88,4.58
276,2076,,,2.3,3.12,3.93,4.64
277,2077,,,2.3,3.15,3.98,4.71
278,2078,,,2.29,3.16,4.02,4.77
279,2079,,,2.29,3.18,4.07,4.84
280,2080,,,2.28,3.2,4.11,4.91
281,2081,,,2.28,3.21,4.16,4.98
282,2082,,,2.28,3.23,4.21,5.05
283,2083,,,2.28,3.24,4.26,5.12
284,2084,,,2.27,3.26,4.31,5.18
285,2085,,,2.27,3.28,4.37,5.25
286,2086,,,2.26,3.29,4.42,5.32
287,2087,,,2.25,3.3,4.47,5.39
288,2088,,,2.24,3.32,4.53,5.46
289,2089,,,2.22,3.33,4.58,5.53
290,2090,,,2.21,3.34,4.63,5.6
291,2091,,,2.2,3.36,4.68,5.67
292,2092,,,2.19,3.37,4.73,5.74
293,2093,,,2.18,3.38,4.78,5.81
294,2094,,,2.17,3.39,4.82,5.87
295,2095,,,2.16,3.4,4.87,5.95
296,2096,,,2.16,3.41,4.92,6.01
297,2097,,,2.15,3.42,4.97,6.08
298,2098,,,2.14,3.43,5.02,6.15
299,2099,,,2.14,3.43,5.06,6.21
300,2100,,,2.14,3.44,5.11,6.29
