Italy,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
65,1865,0.3041935483870968,0.21,,,,
66,1866,0.41419354838709677,0.21,,,,
67,1867,0.4441935483870968,0.21,,,,
68,1868,0.4341935483870968,0.19,,,,
69,1869,0.04419354838709677,0.17,,,,
70,1870,-0.28580645161290325,0.15,,,,
71,1871,-0.4758064516129032,0.12,,,,
72,1872,0.8041935483870968,0.1,,,,
73,1873,0.5241935483870968,0.08,,,,
74,1874,-0.2658064516129032,0.06,,,,
75,1875,-0.41580645161290325,0.04,,,,
76,1876,0.20419354838709677,0.03,,,,
77,1877,0.1941935483870968,0.02,,,,
78,1878,0.10419354838709677,0.01,,,,
79,1879,-0.3758064516129032,-0.0,,,,
80,1880,0.21419354838709678,-0.03,,,,
81,1881,0.03419354838709676,-0.05,,,,
82,1882,0.3741935483870968,-0.08,,,,
83,1883,-0.5258064516129033,-0.12,,,,
84,1884,-0.3558064516129032,-0.15,,,,
85,1885,0.10419354838709677,-0.18,,,,
86,1886,0.0741935483870968,-0.2,,,,
87,1887,-0.39580645161290323,-0.21,,,,
88,1888,-0.4858064516129032,-0.22,,,,
89,1889,-0.5258064516129033,-0.22,,,,
90,1890,-0.5258064516129033,-0.2,,,,
91,1891,-0.5258064516129033,-0.17,,,,
92,1892,0.09419354838709676,-0.14,,,,
93,1893,0.11419354838709678,-0.09,,,,
94,1894,0.05419354838709678,-0.04,,,,
95,1895,-0.05580645161290321,0.0,,,,
96,1896,-0.4558064516129032,0.05,,,,
97,1897,0.3241935483870968,0.08,,,,
98,1898,0.6541935483870969,0.11,,,,
99,1899,0.3441935483870968,0.12,,,,
100,1900,0.5741935483870968,0.12,,,,
101,1901,-0.2558064516129032,0.11,,,,
102,1902,0.0841935483870968,0.09,,,,
103,1903,0.03419354838709676,0.07,,,,
104,1904,0.4841935483870968,0.04,,,,
105,1905,-0.2558064516129032,0.02,,,,
106,1906,-0.16580645161290325,-0.01,,,,
107,1907,-0.05580645161290321,-0.04,,,,
108,1908,-0.1158064516129032,-0.05,,,,
109,1909,-0.3358064516129032,-0.06,,,,
110,1910,-0.1158064516129032,-0.07,,,,
111,1911,0.4441935483870968,-0.07,,,,
112,1912,-0.31580645161290316,-0.07,,,,
113,1913,0.11419354838709678,-0.05,,,,
114,1914,-0.2458064516129032,-0.03,,,,
115,1915,-0.17580645161290326,-0.0,,,,
116,1916,0.5141935483870967,0.03,,,,
117,1917,-0.2258064516129032,0.06,,,,
118,1918,-0.07580645161290323,0.09,,,,
119,1919,-0.29580645161290325,0.12,,,,
120,1920,0.8141935483870968,0.16,,,,
121,1921,0.4441935483870968,0.2,,,,
122,1922,0.03419354838709676,0.25,,,,
123,1923,0.4741935483870968,0.28,,,,
124,1924,0.2241935483870968,0.31,,,,
125,1925,0.0141935483870968,0.33,,,,
126,1926,0.5841935483870968,0.34,,,,
127,1927,0.9041935483870969,0.34,,,,
128,1928,0.6941935483870968,0.34,,,,
129,1929,-0.13580645161290322,0.34,,,,
130,1930,0.5641935483870968,0.35,,,,
131,1931,0.18419354838709678,0.35,,,,
132,1932,0.14419354838709678,0.34,,,,
133,1933,-0.15580645161290324,0.32,,,,
134,1934,0.7041935483870968,0.29,,,,
135,1935,0.3041935483870968,0.27,,,,
136,1936,0.4341935483870968,0.27,,,,
137,1937,0.6241935483870968,0.28,,,,
138,1938,0.06419354838709679,0.3,,,,
139,1939,0.1341935483870968,0.34,,,,
140,1940,-0.6158064516129031,0.38,,,,
141,1941,-0.4958064516129032,0.42,,,,
142,1942,0.2641935483870968,0.46,,,,
143,1943,1.1441935483870969,0.5,,,,
144,1944,0.03419354838709676,0.54,,,,
145,1945,0.8741935483870968,0.59,,,,
146,1946,0.8041935483870968,0.65,,,,
147,1947,1.0641935483870968,0.69,,,,
148,1948,0.6541935483870969,0.72,,,,
149,1949,0.8541935483870968,0.72,,,,
150,1950,1.184193548387097,0.72,,,,
151,1951,0.8141935483870968,0.7,,,,
152,1952,0.7841935483870968,0.68,,,,
153,1953,0.5241935483870968,0.67,,,,
154,1954,-0.025806451612903236,0.65,,,,
155,1955,0.5641935483870968,0.63,,,,
156,1956,-0.3858064516129032,0.6,,,,
157,1957,0.5941935483870968,0.57,,,,
158,1958,0.7241935483870967,0.53,,,,
159,1959,0.6241935483870968,0.51,,,,
160,1960,0.6241935483870968,0.5,,,,
161,1961,1.1741935483870969,0.49,,,,
162,1962,0.24419354838709678,0.49,,,,
163,1963,0.14419354838709678,0.47,,,,
164,1964,0.5641935483870968,0.45,,,,
165,1965,-0.015806451612903227,0.42,,,,
166,1966,0.5441935483870968,0.39,,,,
167,1967,0.6741935483870968,0.37,,,,
168,1968,0.3741935483870968,0.35,,,,
169,1969,0.1341935483870968,0.34,,,,
170,1970,0.35419354838709677,0.33,,,,
171,1971,0.28419354838709676,0.33,,,,
172,1972,0.2241935483870968,0.31,,,,
173,1973,0.3341935483870968,0.3,,,,
174,1974,0.3241935483870968,0.29,,,,
175,1975,0.4641935483870968,0.28,,,,
176,1976,0.03419354838709676,0.29,,,,
177,1977,0.5741935483870968,0.3,,,,
178,1978,-0.1158064516129032,0.32,,,,
179,1979,0.3941935483870968,0.34,,,,
180,1980,-0.28580645161290325,0.37,,,,
181,1981,0.24419354838709678,0.4,,,,
182,1982,0.9241935483870969,0.45,,,,
183,1983,0.6941935483870968,0.5,,,,
184,1984,-0.005806451612903218,0.55,,,,
185,1985,0.5841935483870968,0.61,,,,
186,1986,0.6341935483870969,0.67,,,,
187,1987,0.6941935483870968,0.73,,,,
188,1988,1.0541935483870968,0.78,,,,
189,1989,0.8641935483870968,0.82,,,,
190,1990,1.2241935483870967,0.86,,,,
191,1991,0.3841935483870968,0.91,,,,
192,1992,1.0941935483870968,0.96,,,,
193,1993,0.9041935483870969,1.01,,,,
194,1994,1.8041935483870968,1.06,,,,
195,1995,0.7441935483870967,1.11,,,,
196,1996,0.5341935483870968,1.16,,,,
197,1997,1.3741935483870968,1.2,,,,
198,1998,1.1741935483870969,1.24,,,,
199,1999,1.3141935483870968,1.28,,,,
200,2000,1.6641935483870969,1.31,,,,
201,2001,1.484193548387097,1.34,,,,
202,2002,1.5041935483870967,1.36,,,,
203,2003,1.8241935483870968,1.39,,,,
204,2004,1.0841935483870968,1.41,,,,
205,2005,0.6041935483870968,1.43,1.46,1.49,1.51,1.46
206,2006,1.3441935483870968,1.44,1.5,1.52,1.54,1.49
207,2007,1.6441935483870969,1.46,1.53,1.55,1.56,1.52
208,2008,1.4141935483870969,1.48,1.56,1.57,1.59,1.56
209,2009,1.5841935483870968,1.51,1.59,1.6,1.62,1.59
210,2010,0.8441935483870968,1.55,1.63,1.63,1.64,1.63
211,2011,1.704193548387097,1.59,1.66,1.66,1.67,1.66
212,2012,1.684193548387097,1.65,1.69,1.68,1.7,1.69
213,2013,1.3741935483870968,1.71,1.73,1.71,1.72,1.73
214,2014,1.974193548387097,1.77,1.76,1.74,1.75,1.76
215,2015,2.0241935483870965,1.83,1.8,1.78,1.78,1.8
216,2016,1.8041935483870968,1.88,1.83,1.82,1.8,1.83
217,2017,1.7841935483870968,1.94,1.87,1.86,1.83,1.87
218,2018,2.194193548387097,2.0,1.9,1.9,1.87,1.9
219,2019,2.0441935483870965,2.06,1.94,1.93,1.9,1.94
220,2020,2.074193548387097,2.12,1.98,1.98,1.94,1.98
221,2021,,,2.01,2.02,1.97,2.02
222,2022,,,2.03,2.06,2.0,2.05
223,2023,,,2.06,2.09,2.04,2.08
224,2024,,,2.09,2.13,2.07,2.12
225,2025,,,2.11,2.16,2.11,2.15
226,2026,,,2.13,2.18,2.15,2.19
227,2027,,,2.15,2.21,2.19,2.23
228,2028,,,2.16,2.24,2.23,2.27
229,2029,,,2.18,2.27,2.26,2.3
230,2030,,,2.19,2.3,2.3,2.34
231,2031,,,2.21,2.33,2.34,2.38
232,2032,,,2.23,2.36,2.38,2.42
233,2033,,,2.25,2.39,2.41,2.46
234,2034,,,2.27,2.42,2.45,2.51
235,2035,,,2.29,2.44,2.48,2.56
236,2036,,,2.31,2.46,2.52,2.61
237,2037,,,2.33,2.49,2.55,2.66
238,2038,,,2.35,2.51,2.58,2.71
239,2039,,,2.38,2.53,2.6,2.76
240,2040,,,2.4,2.54,2.63,2.81
241,2041,,,2.42,2.56,2.66,2.86
242,2042,,,2.44,2.57,2.7,2.9
243,2043,,,2.46,2.6,2.73,2.95
244,2044,,,2.48,2.62,2.77,3.0
245,2045,,,2.5,2.64,2.81,3.05
246,2046,,,2.51,2.67,2.86,3.1
247,2047,,,2.53,2.7,2.9,3.14
248,2048,,,2.53,2.73,2.94,3.19
249,2049,,,2.54,2.76,2.98,3.24
250,2050,,,2.54,2.78,3.03,3.29
251,2051,,,2.55,2.82,3.07,3.34
252,2052,,,2.55,2.84,3.1,3.38
253,2053,,,2.55,2.86,3.14,3.44
254,2054,,,2.55,2.88,3.17,3.48
255,2055,,,2.55,2.9,3.19,3.53
256,2056,,,2.55,2.92,3.23,3.58
257,2057,,,2.56,2.94,3.27,3.63
258,2058,,,2.56,2.97,3.31,3.68
259,2059,,,2.56,2.99,3.35,3.73
260,2060,,,2.57,3.01,3.39,3.77
261,2061,,,2.57,3.04,3.43,3.83
262,2062,,,2.58,3.06,3.47,3.88
263,2063,,,2.59,3.09,3.51,3.94
264,2064,,,2.59,3.11,3.55,4.0
265,2065,,,2.6,3.13,3.59,4.05
266,2066,,,2.6,3.15,3.63,4.12
267,2067,,,2.59,3.16,3.67,4.18
268,2068,,,2.59,3.18,3.71,4.24
269,2069,,,2.58,3.19,3.74,4.3
270,2070,,,2.58,3.21,3.78,4.37
271,2071,,,2.57,3.22,3.82,4.43
272,2072,,,2.57,3.24,3.87,4.48
273,2073,,,2.56,3.25,3.91,4.54
274,2074,,,2.55,3.27,3.96,4.6
275,2075,,,2.55,3.29,4.0,4.66
276,2076,,,2.54,3.3,4.05,4.71
277,2077,,,2.54,3.32,4.09,4.77
278,2078,,,2.53,3.34,4.13,4.83
279,2079,,,2.54,3.35,4.17,4.88
280,2080,,,2.53,3.37,4.21,4.94
281,2081,,,2.53,3.39,4.26,4.99
282,2082,,,2.53,3.41,4.29,5.05
283,2083,,,2.53,3.43,4.34,5.11
284,2084,,,2.53,3.44,4.38,5.17
285,2085,,,2.53,3.46,4.43,5.23
286,2086,,,2.54,3.47,4.47,5.29
287,2087,,,2.54,3.48,4.52,5.35
288,2088,,,2.54,3.49,4.57,5.41
289,2089,,,2.54,3.5,4.62,5.47
290,2090,,,2.54,3.51,4.67,5.54
291,2091,,,2.53,3.52,4.72,5.61
292,2092,,,2.52,3.53,4.77,5.67
293,2093,,,2.52,3.54,4.83,5.74
294,2094,,,2.52,3.55,4.88,5.8
295,2095,,,2.52,3.56,4.93,5.87
296,2096,,,2.51,3.57,4.99,5.94
297,2097,,,2.51,3.58,5.04,6.0
298,2098,,,2.51,3.59,5.1,6.06
299,2099,,,2.51,3.59,5.15,6.13
300,2100,,,2.51,3.61,5.21,6.2
