Tajikistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
125,1925,0.4900000000000001,0.06,,,,
126,1926,0.3500000000000001,0.03,,,,
127,1927,0.2900000000000001,-0.0,,,,
128,1928,-0.20999999999999996,-0.04,,,,
129,1929,-0.6099999999999999,-0.07,,,,
130,1930,-0.52,-0.11,,,,
131,1931,-0.15999999999999992,-0.13,,,,
132,1932,-0.019999999999999907,-0.14,,,,
133,1933,0.19000000000000006,-0.12,,,,
134,1934,-0.95,-0.08,,,,
135,1935,-0.6099999999999999,-0.02,,,,
136,1936,0.13000000000000006,0.05,,,,
137,1937,-0.4099999999999999,0.11,,,,
138,1938,0.2400000000000001,0.17,,,,
139,1939,0.4600000000000001,0.23,,,,
140,1940,1.08,0.29,,,,
141,1941,1.73,0.35,,,,
142,1942,0.7100000000000001,0.39,,,,
143,1943,0.030000000000000027,0.42,,,,
144,1944,0.7000000000000001,0.42,,,,
145,1945,-0.2599999999999999,0.42,,,,
146,1946,0.8600000000000001,0.41,,,,
147,1947,1.1600000000000001,0.39,,,,
148,1948,0.26000000000000006,0.37,,,,
149,1949,-0.5699999999999998,0.37,,,,
150,1950,-0.44999999999999996,0.37,,,,
151,1951,0.3000000000000001,0.38,,,,
152,1952,0.6600000000000001,0.39,,,,
153,1953,0.5900000000000001,0.4,,,,
154,1954,-0.21999999999999997,0.41,,,,
155,1955,0.9400000000000001,0.44,,,,
156,1956,1.19,0.46,,,,
157,1957,-0.5699999999999998,0.49,,,,
158,1958,0.68,0.51,,,,
159,1959,0.6600000000000001,0.52,,,,
160,1960,0.25000000000000006,0.52,,,,
161,1961,0.6300000000000001,0.51,,,,
162,1962,0.4000000000000001,0.5,,,,
163,1963,1.33,0.5,,,,
164,1964,-0.2599999999999999,0.5,,,,
165,1965,0.3600000000000001,0.51,,,,
166,1966,0.8400000000000001,0.53,,,,
167,1967,0.25000000000000006,0.53,,,,
168,1968,0.4900000000000001,0.53,,,,
169,1969,0.08000000000000007,0.54,,,,
170,1970,1.27,0.55,,,,
171,1971,1.62,0.57,,,,
172,1972,-0.43999999999999995,0.62,,,,
173,1973,1.11,0.66,,,,
174,1974,0.15000000000000008,0.71,,,,
175,1975,0.20000000000000007,0.74,,,,
176,1976,0.43000000000000005,0.77,,,,
177,1977,1.2600000000000002,0.79,,,,
178,1978,0.9400000000000001,0.81,,,,
179,1979,1.1500000000000001,0.82,,,,
180,1980,1.46,0.84,,,,
181,1981,1.02,0.87,,,,
182,1982,0.3800000000000001,0.88,,,,
183,1983,1.04,0.89,,,,
184,1984,0.4800000000000001,0.87,,,,
185,1985,1.08,0.84,,,,
186,1986,0.6100000000000001,0.8,,,,
187,1987,0.8300000000000001,0.77,,,,
188,1988,1.46,0.75,,,,
189,1989,0.06000000000000005,0.74,,,,
190,1990,1.3800000000000001,0.74,,,,
191,1991,0.45000000000000007,0.77,,,,
192,1992,0.3600000000000001,0.81,,,,
193,1993,0.3000000000000001,0.86,,,,
194,1994,0.8600000000000001,0.92,,,,
195,1995,0.8900000000000001,0.99,,,,
196,1996,0.3500000000000001,1.08,,,,
197,1997,1.46,1.17,,,,
198,1998,1.42,1.27,,,,
199,1999,1.52,1.37,,,,
200,2000,1.6800000000000002,1.47,,,,
201,2001,2.13,1.55,,,,
202,2002,1.76,1.62,,,,
203,2003,1.27,1.67,,,,
204,2004,2.1900000000000004,1.7,,,,
205,2005,1.4900000000000002,1.71,1.38,1.37,1.39,1.36
206,2006,2.0700000000000003,1.7,1.42,1.41,1.43,1.4
207,2007,1.9200000000000002,1.69,1.46,1.45,1.46,1.44
208,2008,1.59,1.67,1.49,1.48,1.5,1.48
209,2009,1.4000000000000001,1.66,1.53,1.52,1.53,1.52
210,2010,1.87,1.66,1.57,1.56,1.57,1.56
211,2011,1.61,1.67,1.6,1.6,1.6,1.6
212,2012,0.7200000000000001,1.67,1.64,1.64,1.64,1.64
213,2013,1.82,1.66,1.68,1.68,1.67,1.68
214,2014,1.01,1.66,1.72,1.72,1.71,1.72
215,2015,1.84,1.65,1.76,1.76,1.75,1.77
216,2016,2.45,1.65,1.8,1.8,1.79,1.81
217,2017,1.6700000000000002,1.64,1.84,1.84,1.83,1.85
218,2018,1.9500000000000002,1.64,1.87,1.88,1.87,1.88
219,2019,1.6500000000000001,1.64,1.91,1.93,1.91,1.92
220,2020,1.2000000000000002,1.64,1.94,1.97,1.95,1.96
221,2021,,,1.98,2.02,1.99,2.0
222,2022,,,2.02,2.06,2.03,2.04
223,2023,,,2.05,2.1,2.07,2.09
224,2024,,,2.09,2.14,2.11,2.13
225,2025,,,2.13,2.17,2.16,2.18
226,2026,,,2.17,2.21,2.2,2.24
227,2027,,,2.2,2.24,2.24,2.29
228,2028,,,2.24,2.27,2.28,2.34
229,2029,,,2.27,2.29,2.33,2.4
230,2030,,,2.3,2.31,2.37,2.45
231,2031,,,2.33,2.33,2.41,2.5
232,2032,,,2.36,2.35,2.44,2.54
233,2033,,,2.38,2.38,2.47,2.59
234,2034,,,2.4,2.4,2.51,2.64
235,2035,,,2.42,2.43,2.54,2.68
236,2036,,,2.44,2.46,2.59,2.73
237,2037,,,2.45,2.5,2.63,2.78
238,2038,,,2.47,2.53,2.67,2.83
239,2039,,,2.48,2.57,2.71,2.89
240,2040,,,2.5,2.6,2.75,2.95
241,2041,,,2.52,2.64,2.8,3.01
242,2042,,,2.54,2.67,2.85,3.06
243,2043,,,2.56,2.71,2.9,3.13
244,2044,,,2.58,2.75,2.95,3.2
245,2045,,,2.6,2.78,2.99,3.28
246,2046,,,2.62,2.82,3.04,3.35
247,2047,,,2.64,2.86,3.09,3.43
248,2048,,,2.65,2.9,3.13,3.49
249,2049,,,2.67,2.93,3.17,3.56
250,2050,,,2.68,2.97,3.22,3.62
251,2051,,,2.7,3.01,3.26,3.69
252,2052,,,2.71,3.04,3.3,3.76
253,2053,,,2.72,3.07,3.35,3.83
254,2054,,,2.73,3.1,3.4,3.89
255,2055,,,2.74,3.13,3.45,3.95
256,2056,,,2.75,3.16,3.5,4.01
257,2057,,,2.76,3.19,3.56,4.08
258,2058,,,2.77,3.22,3.61,4.15
259,2059,,,2.77,3.25,3.66,4.22
260,2060,,,2.77,3.28,3.7,4.28
261,2061,,,2.76,3.31,3.75,4.35
262,2062,,,2.76,3.34,3.8,4.42
263,2063,,,2.75,3.37,3.86,4.5
264,2064,,,2.74,3.4,3.91,4.57
265,2065,,,2.74,3.43,3.97,4.64
266,2066,,,2.73,3.46,4.02,4.71
267,2067,,,2.72,3.49,4.08,4.78
268,2068,,,2.72,3.52,4.14,4.85
269,2069,,,2.71,3.55,4.2,4.92
270,2070,,,2.71,3.57,4.25,4.99
271,2071,,,2.71,3.58,4.32,5.06
272,2072,,,2.71,3.6,4.38,5.13
273,2073,,,2.71,3.61,4.43,5.2
274,2074,,,2.71,3.62,4.49,5.27
275,2075,,,2.72,3.63,4.54,5.35
276,2076,,,2.72,3.64,4.59,5.42
277,2077,,,2.72,3.66,4.65,5.49
278,2078,,,2.71,3.68,4.69,5.57
279,2079,,,2.71,3.69,4.75,5.65
280,2080,,,2.71,3.71,4.81,5.72
281,2081,,,2.7,3.73,4.87,5.8
282,2082,,,2.7,3.74,4.92,5.88
283,2083,,,2.7,3.76,4.98,5.96
284,2084,,,2.69,3.78,5.04,6.04
285,2085,,,2.69,3.79,5.1,6.12
286,2086,,,2.68,3.81,5.16,6.19
287,2087,,,2.67,3.83,5.22,6.27
288,2088,,,2.66,3.84,5.29,6.35
289,2089,,,2.64,3.86,5.34,6.43
290,2090,,,2.63,3.87,5.39,6.51
291,2091,,,2.62,3.89,5.44,6.59
292,2092,,,2.61,3.9,5.49,6.67
293,2093,,,2.6,3.92,5.55,6.75
294,2094,,,2.59,3.94,5.6,6.83
295,2095,,,2.59,3.95,5.66,6.91
296,2096,,,2.58,3.97,5.72,6.99
297,2097,,,2.57,3.99,5.78,7.07
298,2098,,,2.56,4.0,5.83,7.14
299,2099,,,2.55,4.01,5.89,7.22
300,2100,,,2.54,4.03,5.95,7.31
